"node","name_1","name_2","subsystem"
1,"COKECBESr","COKECBESr","ALKALOID SYNTHESIS"
2,"EGMESTr","EGMESTr","ALKALOID SYNTHESIS"
3,"NMPTRCOX","NMPTRCOX","ALKALOID SYNTHESIS"
4,"PRO1x","PRO1x","ARGININE AND PROLINE METABOLISM"
5,"DHDDH","Dihydrodiol dehydrogenase","CYP METABOLISM"
6,"EPOH","Epoxide hydrolase","CYP METABOLISM"
7,"4NPHSULT","4NPHSULT","CYTOCHROME METABOLISM"
8,"FAH1","FAH1","CYTOCHROME METABOLISM"
9,"FAH2","FAH2","CYTOCHROME METABOLISM"
10,"FAH3","FAH3","CYTOCHROME METABOLISM"
11,"P4502A6","P4502A6","CYTOCHROME METABOLISM"
12,"P4502C18","P4502C18","CYTOCHROME METABOLISM"
13,"P4502C19","P4502C19","CYTOCHROME METABOLISM"
14,"P4502C8","P4502C8","CYTOCHROME METABOLISM"
15,"P4502C9","P4502C9","CYTOCHROME METABOLISM"
16,"P4502D6","P4502D6","CYTOCHROME METABOLISM"
17,"P4502E1","P4502E1","CYTOCHROME METABOLISM"
18,"P4502F1","P4502F1","CYTOCHROME METABOLISM"
19,"P4503A4","P4503A4","CYTOCHROME METABOLISM"
20,"P4503A5","P4503A5","CYTOCHROME METABOLISM"
21,"P4504F123r","P4504F123r","CYTOCHROME METABOLISM"
22,"FAS100ACP","Fatty acid biosynthesis (n-C10:0ACP)","FATTY ACID ELONGATION"
23,"FAS140ACP","Fatty-acid biosynthesis (n-C14:0ACP)","FATTY ACID ELONGATION"
24,"FAS160ACP","Fatty-acid biosynthesis (n-C16:0ACP)","FATTY ACID ELONGATION"
25,"FAS180ACP","Fatty-acid biosynthesis (n-C18:0ACP)","FATTY ACID ELONGATION"
26,"FAS80ACP_L","Fatty acid biosynthesis (n-C8:0ACP), lumped reaction","FATTY ACID ELONGATION"
27,"FAS80ACPxym_L","Fatty acyl-coa synthase (n-C8:0ACP) mitochondrial, lumped reaction","FATTY ACID ELONGATION"
28,"KAS8","B-ketoacyl synthetase (palmitate, n-C16:0)","FATTY ACID ELONGATION"
29,"ACCOAC","Acetyl-CoA carboxylase","FATTY ACID METABOLISM"
30,"PTE9x","Peroxisomal acyl CoA thioesterase","FATTY ACID METABOLISM"
31,"BMTer","B mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
32,"GPIMTer","GlcN-acylPI mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
33,"H2MTer","H2 mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
34,"H3MTer","H3 mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
35,"H5MTer","H5 mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
36,"H6MTer","H6 mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
37,"H7MTer","H7 mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
38,"H8MTer","H8 mannosyltransferase, endoplasmic reticulum","GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS"
39,"FBA4","FBA4","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
40,"GCALDD","Glycolaldehyde dehydrogenase","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
41,"GCALDDm","GCALDDm","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
42,"GLXO1","GLXO1","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
43,"GLXO2p","GLXO2p","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
44,"GLYCK2","Glycerate kinase","GLYOXYLATE AND DICARBOXYLATE METABOLISM"
